home_team,away_team,posteam,side_of_field,yardline_100,half_seconds_remaining,game_seconds_remaining,game_half,down,ydstogo,ydsnet,yards_gained,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt,penalty
DEN,SD,DEN,SD,49,739,739,Half2,4,2,9,1,-12,0,1,0,0,0
DEN,SD,SD,DEN,31,484,484,Half2,4,1,52,31,12,1,0,0,0,0
DEN,SD,DEN,DEN,63,286,286,Half2,4,8,16,14,-12,1,0,0,0,0
DEN,SD,DEN,SD,45,197,197,Half2,4,6,20,0,-12,0,1,0,0,0
SF,ARI,ARI,SF,3,897,897,Half2,4,3,55,0,-24,0,1,0,0,0
SF,ARI,ARI,SF,42,736,736,Half2,4,2,8,0,-24,0,1,0,0,0
SF,ARI,ARI,SF,11,9,9,Half2,4,11,61,0,-30,0,1,0,0,0
SEA,STL,STL,STL,71,28,28,Half2,4,22,2,14,-10,0,1,0,0,0
GB,NO,NO,GB,7,1090,1090,Half2,4,1,42,0,-9,0,1,0,0,0
BAL,PIT,BAL,PIT,8,1692,1692,Half2,4,1,9,0,22,0,1,0,0,0
BAL,PIT,PIT,BAL,28,4,4,Half2,4,10,45,-7,-28,0,1,0,0,0
STL,PHI,STL,STL,59,1109,1109,Half2,4,1,22,1,-13,1,0,0,0,0
STL,PHI,STL,PHI,46,746,746,Half2,4,3,34,4,-10,1,0,0,0,0
STL,PHI,STL,PHI,36,370,370,Half2,4,10,44,0,-17,0,1,0,0,0
STL,PHI,PHI,STL,33,141,141,Half2,4,11,31,0,17,0,1,0,0,0
TB,DET,DET,TB,36,445,2245,Half1,4,2,80,36,-3,1,0,0,0,0
TB,DET,TB,DET,11,475,475,Half2,4,1,81,0,-15,0,1,0,0,0
TB,DET,TB,DET,5,100,100,Half2,4,3,59,5,-15,1,0,0,0,0
CHI,ATL,ATL,CHI,15,171,171,Half2,4,10,69,0,-17,0,1,0,0,0
HOU,IND,IND,HOU,16,295,295,Half2,4,14,45,0,-26,0,1,0,0,0
CLE,CIN,CLE,CLE,54,132,132,Half2,4,8,2,0,-3,0,1,0,0,0
CLE,CIN,CLE,CLE,63,88,88,Half2,4,1,12,3,-10,1,0,0,0,0
SD,MIN,SD,MIN,25,193,1993,Half1,4,20,65,0,-10,0,1,0,0,0
SF,SEA,SEA,SF,42,94,94,Half2,4,1,38,4,-15,1,0,0,0,0
ARI,CAR,CAR,ARI,6,79,79,Half2,4,5,81,4,-6,0,1,0,0,0
WAS,NYG,WAS,NYG,37,852,2652,Half1,4,5,39,10,-7,1,0,0,0,0
WAS,NYG,NYG,WAS,31,1217,1217,Half2,4,1,60,0,-6,0,1,0,0,0
MIA,NE,MIA,NE,21,1633,3433,Half1,4,1,65,2,0,1,0,0,0,0
MIA,NE,MIA,NE,25,452,452,Half2,4,10,67,15,-14,1,0,0,0,0
MIA,NE,MIA,NE,1,362,362,Half2,4,1,76,0,-14,0,1,0,0,0
MIA,NE,MIA,NE,30,239,239,Half2,4,7,53,9,-21,1,0,0,0,0
MIA,NE,MIA,NE,27,40,40,Half2,4,5,63,10,-14,1,0,0,0,0
DET,KC,DET,KC,1,981,981,Half2,4,1,84,1,17,1,0,0,0,0
DET,KC,DET,KC,1,311,311,Half2,4,1,34,1,38,1,0,0,0,0
BUF,OAK,OAK,BUF,48,975,2775,Half1,4,1,27,4,0,1,0,0,0,0
BUF,OAK,BUF,OAK,24,63,63,Half2,4,3,80,9,-4,1,0,0,0,0
BUF,OAK,BUF,OAK,6,18,18,Half2,4,1,80,6,-4,1,0,0,0,0
PIT,SEA,PIT,SEA,1,1511,3311,Half1,4,1,81,0,0,0,1,0,0,0
PIT,SEA,SEA,SEA,71,1,1801,Half1,4,1,15,6,-17,1,0,0,0,0
PIT,SEA,SEA,PIT,31,508,508,Half2,4,8,29,-4,-24,0,1,0,0,0
NO,CHI,CHI,CHI,59,263,263,Half2,4,24,-3,-14,-17,0,1,0,0,0
NO,CHI,NO,CHI,42,29,29,Half2,4,3,12,5,17,1,0,0,0,0
CAR,GB,GB,CAR,45,50,1850,Half1,4,4,19,0,-6,0,1,0,0,0
CAR,GB,CAR,GB,6,202,202,Half2,4,4,65,3,-7,0,1,0,0,0
WAS,ARI,WAS,ARI,18,323,323,Half2,4,3,73,18,-8,1,0,0,0,0
TEN,BAL,TEN,BAL,10,1575,1575,Half2,4,1,75,10,0,1,0,0,0,0
TEN,BAL,TEN,BAL,31,191,191,Half2,4,1,62,13,10,1,0,0,0,0
NYJ,JAC,JAC,NYJ,24,562,562,Half2,4,1,46,-3,-29,0,1,0,0,0
IND,CLE,CLE,IND,46,738,2538,Half1,4,1,11,2,-6,1,0,0,0,0
SF,DAL,DAL,SF,34,457,457,Half2,4,5,55,9,-10,1,0,0,0,0
NE,SD,SD,NE,1,497,2297,Half1,4,1,75,0,-3,0,1,0,0,0
NE,SD,NE,SD,49,705,705,Half2,4,4,31,0,6,0,1,0,0,0
MIA,HOU,MIA,MIA,89,132,132,Half2,4,19,-9,0,-10,0,1,0,0,0
MIA,HOU,HOU,MIA,2,55,55,Half2,4,1,10,1,10,1,0,0,0,0
DEN,CIN,CIN,DEN,36,189,189,Half2,4,1,9,0,-2,0,1,0,0,0
DEN,CIN,CIN,CIN,57,30,30,Half2,4,19,38,0,-2,0,1,0,0,0
ATL,PHI,PHI,ATL,22,105,105,Half2,4,4,69,0,-4,0,1,0,0,0
NYG,STL,STL,NYG,30,1016,1016,Half2,4,6,53,11,-18,1,0,0,0,0
NYG,STL,NYG,STL,31,133,133,Half2,4,1,42,-2,11,0,1,0,0,0
CAR,JAC,JAC,JAC,51,1295,1295,Half2,4,7,-8,0,5,0,1,0,0,0
CAR,JAC,JAC,JAC,51,861,861,Half2,4,1,30,2,2,1,0,0,0,0
NO,HOU,HOU,HOU,91,120,120,Half2,4,21,-11,0,-7,0,1,0,0,0
CIN,SF,SF,SF,82,8,8,Half2,4,17,-25,-18,7,0,1,0,0,0
MIN,DET,MIN,DET,17,700,700,Half2,4,1,20,0,3,0,1,0,0,0
PHI,NYG,NYG,PHI,31,326,2126,Half1,4,3,51,2,11,0,1,0,0,0
PHI,NYG,PHI,NYG,43,703,703,Half2,4,1,27,-3,2,0,1,0,0,0
PHI,NYG,PHI,PHI,70,134,134,Half2,4,11,29,19,-13,1,0,0,0,0
TEN,DEN,TEN,TEN,56,178,1978,Half1,4,9,27,21,0,1,0,0,0,0
TEN,DEN,DEN,TEN,1,813,813,Half2,4,1,12,0,4,0,1,0,0,0
CLE,MIA,MIA,CLE,41,1129,2929,Half1,4,1,22,2,7,1,0,0,0,0
CLE,MIA,CLE,MIA,37,76,76,Half2,4,4,53,10,-6,1,0,0,0,0
CLE,MIA,MIA,CLE,47,21,21,Half2,4,10,0,0,-1,0,1,0,0,0
BUF,NE,BUF,NE,35,921,2721,Half1,4,14,45,0,-14,0,1,0,0,0
BUF,NE,NE,BUF,41,492,492,Half2,4,4,35,5,-6,1,0,0,0,0
BUF,NE,NE,BUF,6,213,213,Half2,4,6,71,6,-6,1,0,0,0,0
OAK,NYJ,NYJ,OAK,37,1051,1051,Half2,4,2,43,0,0,0,1,0,0,0
OAK,NYJ,NYJ,OAK,2,52,52,Half2,4,2,57,1,-10,0,1,0,0,0
STL,BAL,BAL,STL,45,822,2622,Half1,4,1,26,5,21,1,0,0,0,0
STL,BAL,STL,STL,65,502,502,Half2,4,6,11,-4,-23,0,1,0,0,0
SD,KC,KC,SD,11,1207,3007,Half1,4,1,0,1,0,0,0,0,0,1
SD,KC,KC,SD,42,1037,1037,Half2,4,4,36,5,-10,1,0,0,0,0
SD,KC,SD,KC,34,95,95,Half2,4,1,33,0,3,0,1,0,0,0
TB,ATL,TB,ATL,35,1534,1534,Half2,4,1,48,3,10,1,0,0,0,0
TB,ATL,ATL,TB,7,776,776,Half2,4,3,41,0,-13,0,1,0,0,0
SEA,ARI,ARI,ARI,60,517,517,Half2,4,1,22,2,-3,1,0,0,0,0
CHI,GB,CHI,GB,48,140,140,Half2,4,5,20,0,-10,0,1,0,0,0
CLE,TEN,CLE,TEN,41,368,2168,Half1,4,1,9,0,-8,0,1,0,0,0
CLE,TEN,CLE,TEN,16,802,802,Half2,4,2,58,5,-24,1,0,0,0,0
CLE,TEN,CLE,TEN,10,716,716,Half2,4,9,69,10,-24,1,0,0,0,0
CLE,TEN,CLE,CLE,61,515,515,Half2,4,9,1,0,-17,0,1,0,0,0
CLE,TEN,CLE,TEN,36,234,234,Half2,4,6,45,0,-17,0,1,0,0,0
KC,MIN,MIN,KC,37,657,2457,Half1,4,3,49,5,4,1,0,0,0,0
KC,MIN,MIN,KC,37,596,596,Half2,4,14,53,20,-12,1,0,0,0,0
KC,MIN,MIN,KC,41,101,101,Half2,4,10,44,0,-5,0,1,0,0,0
JAC,NO,JAC,NO,38,1673,3473,Half1,4,6,42,0,0,0,1,0,0,0
JAC,NO,NO,NO,53,972,972,Half2,4,1,10,1,10,1,0,0,0,0
JAC,NO,JAC,NO,20,421,421,Half2,4,2,34,0,-13,0,1,0,0,0
JAC,NO,JAC,NO,21,209,209,Half2,4,11,43,0,-13,0,1,0,0,0
JAC,NO,JAC,JAC,53,110,110,Half2,4,3,7,0,-13,0,1,0,0,0
STL,WAS,STL,WAS,35,527,2327,Half1,4,1,13,4,-7,1,0,0,0,0
STL,WAS,STL,STL,61,136,136,Half2,4,13,11,0,-7,0,1,0,0,0
CHI,CAR,CHI,CAR,49,722,722,Half2,4,1,13,4,-1,1,0,0,0,0
CHI,CAR,CAR,CAR,57,115,115,Half2,4,10,23,0,-2,0,1,0,0,0
CHI,CAR,CAR,CHI,3,4,4,Half2,4,1,77,3,-9,1,0,0,0,0
DAL,DET,DAL,DET,1,1007,2807,Half1,4,1,50,0,7,0,1,0,0,0
DAL,DET,DAL,DAL,55,11,11,Half2,4,20,32,7,-2,0,1,0,0,0
HOU,PIT,PIT,HOU,45,158,158,Half2,4,7,3,0,-7,0,1,0,0,0
ARI,NYG,ARI,NYG,21,609,2409,Half1,4,1,71,4,3,1,0,0,0,0
ARI,NYG,ARI,NYG,30,56,56,Half2,4,2,46,0,-4,0,1,0,0,0
OAK,NE,OAK,OAK,73,231,231,Half2,4,3,7,0,-18,0,1,0,0,0
OAK,NE,NE,OAK,1,83,83,Half2,4,1,25,0,18,0,1,0,0,0
GB,DEN,GB,DEN,12,1615,3415,Half1,4,1,56,-1,0,0,1,0,0,0
GB,DEN,DEN,GB,7,187,187,Half2,4,7,78,7,-31,1,0,0,0,0
BAL,NYJ,NYJ,NYJ,80,116,116,Half2,4,10,0,0,-15,0,1,0,0,0
TB,IND,TB,IND,24,1005,1005,Half2,4,1,64,8,-7,1,0,0,0,0
TB,IND,TB,IND,43,74,74,Half2,4,1,26,2,7,1,0,0,0,0
PIT,TEN,PIT,PIT,50,760,2560,Half1,4,5,70,33,4,1,0,0,0,0
PIT,TEN,TEN,PIT,40,450,450,Half2,4,5,40,0,-21,0,1,0,0,0
PIT,TEN,TEN,PIT,29,349,349,Half2,4,2,11,3,-21,1,0,0,0,0
HOU,OAK,OAK,OAK,63,698,698,Half2,4,3,42,35,2,1,0,0,0,0
IND,KC,IND,KC,41,149,149,Half2,4,6,39,0,-4,0,1,0,0,0
JAC,CIN,CIN,JAC,34,116,1916,Half1,4,6,31,13,-6,1,0,0,0,0
JAC,CIN,CIN,JAC,19,233,233,Half2,4,6,13,9,-4,1,0,0,0,0
JAC,CIN,CIN,JAC,15,12,12,Half2,4,6,5,1,3,0,1,0,0,0
NYG,SEA,SEA,NYG,16,657,2457,Half1,4,1,73,2,7,1,0,0,0,0
MIN,ARI,ARI,MIN,47,310,2110,Half1,4,3,48,13,-25,1,0,0,0,0
MIN,ARI,ARI,ARI,54,905,905,Half2,4,1,32,0,-21,0,1,0,0,0
MIN,ARI,ARI,MIN,39,655,655,Half2,4,10,49,21,-21,1,0,0,0,0
MIN,ARI,ARI,MIN,30,541,541,Half2,4,22,37,0,-21,0,1,0,0,0
BUF,PHI,PHI,BUF,39,1633,3433,Half1,4,1,49,8,0,1,0,0,0,0
SF,TB,TB,SF,33,1327,1327,Half2,4,2,47,0,-27,0,1,0,0,0
SF,TB,SF,TB,20,286,286,Half2,4,3,89,19,37,1,0,0,0,0
DET,CHI,CHI,DET,26,915,2715,Half1,4,1,62,0,0,0,1,0,0,0
NYG,BUF,BUF,BUF,51,866,866,Half2,4,1,12,3,-7,1,0,0,0,0
NYG,BUF,BUF,BUF,75,63,63,Half2,4,5,5,0,-3,0,1,0,0,0
PIT,JAC,JAC,PIT,44,1209,1209,Half2,4,3,41,5,-14,1,0,0,0,0
WAS,PHI,PHI,WAS,38,1439,3239,Half1,4,2,82,18,0,1,0,0,0,0
WAS,PHI,PHI,WAS,32,1090,1090,Half2,4,2,39,0,14,0,1,0,0,0
WAS,PHI,WAS,PHI,49,245,245,Half2,4,9,46,15,-14,1,0,0,0,0
DET,SF,SF,DET,6,116,116,Half2,4,6,35,6,-4,1,0,0,0,0
DET,SF,DET,DET,75,79,79,Half2,4,5,5,0,-3,0,1,0,0,0
DET,SF,DET,DET,80,5,5,Half2,4,10,11,11,-6,1,0,0,0,0
GB,STL,STL,GB,41,922,2722,Half1,4,3,42,0,-3,0,1,0,0,0
GB,STL,GB,MID,50,875,2675,Half1,4,1,24,15,3,1,0,0,0,0
GB,STL,STL,STL,52,1182,1182,Half2,4,1,32,4,-21,1,0,0,0,0
GB,STL,STL,GB,15,434,434,Half2,4,6,22,0,-21,0,1,0,0,0
GB,STL,STL,GB,34,253,253,Half2,4,12,10,-7,-21,0,1,0,0,0
ATL,CAR,CAR,ATL,28,19,19,Half2,4,1,62,12,-14,1,0,0,0,0
OAK,CLE,OAK,OAK,66,225,2025,Half1,4,1,17,2,7,1,0,0,0,0
OAK,CLE,OAK,CLE,35,993,993,Half2,4,20,25,35,10,1,0,0,0,0
OAK,CLE,OAK,CLE,5,289,289,Half2,4,1,60,0,14,0,1,0,0,0
OAK,CLE,CLE,OAK,42,33,33,Half2,4,3,7,0,-7,0,1,0,0,0
BAL,HOU,HOU,BAL,20,455,2255,Half1,4,1,26,0,-7,0,1,0,0,0
BAL,HOU,HOU,HOU,74,216,216,Half2,4,4,6,0,-12,0,1,0,0,0
BAL,HOU,HOU,HOU,72,85,85,Half2,4,2,9,1,-15,0,1,0,0,0
TB,NO,NO,TB,4,204,204,Half2,4,2,72,0,-6,0,1,0,0,0
CHI,MIN,MIN,CHI,21,606,606,Half2,4,10,59,9,-29,0,1,0,0,0
CHI,MIN,MIN,CHI,35,255,255,Half2,4,8,30,5,-29,0,1,0,0,0
NYJ,MIA,MIA,MIA,67,9,9,Half2,4,14,11,-2,-17,0,1,0,0,0
NYJ,SD,SD,SD,51,11,11,Half2,4,3,25,0,-7,0,1,0,0,0
TEN,HOU,TEN,HOU,5,1240,1240,Half2,4,5,76,5,-27,1,0,0,0,0
TEN,HOU,HOU,TEN,36,929,929,Half2,4,1,44,0,20,0,1,0,0,0
TEN,HOU,HOU,TEN,34,75,75,Half2,4,7,27,1,33,0,1,0,0,0
DET,ATL,DET,DET,63,120,120,Half2,4,5,46,7,-7,1,0,0,0,1
DET,ATL,DET,ATL,41,98,98,Half2,4,10,46,0,-7,0,1,0,0,0
CAR,WAS,WAS,CAR,40,1676,1676,Half2,4,2,33,-7,-3,0,1,0,0,0
CAR,WAS,WAS,WAS,75,79,79,Half2,4,5,9,4,-13,0,1,0,0,0
CLE,SEA,SEA,SEA,74,147,147,Half2,4,15,6,0,-3,0,1,0,0,0
ARI,PIT,ARI,PIT,16,282,282,Half2,4,1,71,3,-18,1,0,0,0,0
OAK,KC,OAK,KC,1,697,2497,Half1,4,1,79,0,-13,0,1,0,0,0
DAL,STL,STL,STL,60,451,451,Half2,4,4,26,-1,-20,0,1,0,0,0
DAL,STL,STL,DAL,1,104,104,Half2,4,1,59,-5,-27,0,1,0,0,0
JAC,BAL,JAC,BAL,15,1268,3068,Half1,4,2,31,12,0,1,0,0,0,0
NYG,MIA,NYG,MIA,34,1513,3313,Half1,4,9,51,0,0,0,1,0,0,0
NYG,MIA,MIA,NYG,1,584,2384,Half1,4,1,90,1,4,1,0,0,0,0
NYG,MIA,MIA,MIA,73,114,114,Half2,4,23,11,0,-3,0,1,0,0,0
HOU,JAC,JAC,HOU,7,364,364,Half2,4,4,24,5,-14,1,0,0,0,0
TEN,IND,IND,TEN,3,161,161,Half2,4,3,77,0,-16,0,1,0,0,0
TEN,IND,IND,TEN,4,31,31,Half2,4,4,50,0,-16,0,1,0,0,0
CAR,MIN,CAR,CAR,65,69,69,Half2,4,15,55,44,-3,1,0,0,0,0
STL,NO,STL,NO,40,569,2369,Half1,4,2,65,17,0,1,0,0,0,0
STL,NO,STL,NO,35,1336,1336,Half2,4,2,70,32,17,1,0,0,0,0
STL,NO,NO,NO,65,76,76,Half2,4,9,26,11,-17,1,0,0,0,0
BAL,ARI,ARI,BAL,32,625,625,Half2,4,1,52,4,-4,1,0,0,0,0
DEN,DET,DEN,DEN,72,5,1805,Half1,4,2,8,0,-21,0,1,0,0,0
DEN,DET,DEN,DET,33,1092,1092,Half2,4,2,46,0,-34,0,1,0,0,0
DEN,DET,DEN,DET,46,46,46,Half2,4,10,50,0,-33,0,1,0,0,0
BUF,WAS,WAS,BUF,44,1130,1130,Half2,4,4,6,0,-20,0,1,0,0,0
BUF,WAS,WAS,BUF,24,47,47,Half2,4,17,52,0,-23,0,1,0,0,0
SF,CLE,SF,CLE,1,596,2396,Half1,4,1,82,0,10,0,1,0,0,0
SF,CLE,CLE,CLE,58,420,420,Half2,4,1,23,1,-14,1,0,0,0,0
SF,CLE,CLE,SF,26,14,14,Half2,4,5,57,8,-10,1,0,0,0,0
SEA,CIN,SEA,CIN,3,14,1814,Half1,4,2,64,2,-14,1,0,0,0,0
SEA,CIN,SEA,CIN,35,105,105,Half2,4,10,32,0,-14,0,1,0,0,0
PHI,DAL,PHI,DAL,35,931,931,Half2,4,1,25,2,27,1,0,0,0,0
PHI,DAL,DAL,PHI,46,503,503,Half2,4,12,10,12,-27,1,0,0,0,0
PHI,DAL,DAL,PHI,2,372,372,Half2,4,2,39,-3,-27,0,1,0,0,0
BUF,NYJ,BUF,NYJ,38,31,1831,Half1,4,2,8,0,-3,0,1,0,0,0
BUF,NYJ,BUF,NYJ,16,869,869,Half2,4,1,56,0,-17,0,1,0,0,0
BUF,NYJ,BUF,NYJ,21,246,246,Half2,4,5,68,9,-24,1,0,0,0,0
HOU,CLE,CLE,MID,50,66,1866,Half1,4,2,14,6,-18,1,0,0,0,0
HOU,CLE,CLE,HOU,37,475,475,Half2,4,3,30,3,-24,1,0,0,0,0
HOU,CLE,HOU,CLE,31,120,120,Half2,4,6,35,9,18,1,0,0,0,0
KC,MIA,KC,MIA,45,1,1801,Half1,4,15,70,24,-11,1,0,0,0,0
KC,MIA,KC,MIA,34,1505,1505,Half2,4,11,6,-3,-11,0,1,0,0,0
KC,MIA,KC,MIA,3,900,900,Half2,4,1,77,0,-25,0,1,0,0,0
KC,MIA,KC,MIA,24,371,371,Half2,4,1,65,9,-28,1,0,0,0,0
KC,MIA,KC,MIA,36,106,106,Half2,4,13,13,0,-28,0,1,0,0,0
DAL,SEA,SEA,DAL,38,544,544,Half2,4,7,49,17,-17,1,0,0,0,0
DAL,SEA,SEA,DAL,39,28,28,Half2,4,3,43,0,-10,0,1,0,0,0
WAS,SF,WAS,SF,33,857,857,Half2,4,2,48,0,-13,0,1,0,0,0
WAS,SF,WAS,SF,37,314,314,Half2,4,4,19,0,-16,0,1,0,0,0
NO,TB,TB,NO,29,1212,3012,Half1,4,1,34,-5,0,0,1,0,0,0
NO,TB,TB,NO,38,925,925,Half2,4,6,50,8,-18,1,0,0,0,0
OAK,DEN,DEN,DEN,85,750,2550,Half1,4,11,-1,0,4,0,1,0,0,0
TEN,CIN,TEN,CIN,10,406,2206,Half1,4,3,73,5,-4,1,0,0,0,0
NE,NYG,NE,NYG,14,100,100,Half2,4,9,64,14,-4,1,0,0,0,0
SD,GB,GB,SD,36,611,2411,Half1,4,2,42,0,5,0,1,0,0,0
ARI,STL,STL,ARI,33,108,108,Half2,4,1,47,0,0,0,1,0,0,0
PIT,BAL,BAL,PIT,49,66,66,Half2,4,1,53,10,-4,1,0,0,0,0
PHI,CHI,PHI,CHI,20,1566,1566,Half2,4,1,64,4,-8,1,0,0,0,0
PHI,CHI,PHI,CHI,42,568,568,Half2,4,6,37,0,-4,0,1,0,0,0
PHI,CHI,PHI,CHI,39,116,116,Half2,4,10,33,9,-7,0,1,0,0,0
SD,OAK,OAK,SD,34,1381,3181,Half1,4,1,53,0,-3,0,1,0,0,0
SD,OAK,SD,OAK,24,928,928,Half2,4,1,44,17,-14,1,0,0,0,0
DAL,BUF,BUF,DAL,17,1491,1491,Half2,4,2,66,0,-21,0,1,0,0,0
MIA,WAS,MIA,WAS,18,20,20,Half2,4,1,41,-2,11,0,1,0,0,0
ATL,NO,ATL,NO,26,1262,1262,Half2,4,1,49,5,-4,1,0,0,0,0
ATL,NO,ATL,NO,45,269,269,Half2,4,3,81,6,-10,1,0,0,0,0
ATL,NO,ATL,ATL,71,652,652,Overtime,4,1,9,0,0,0,1,0,0,0
PHI,ARI,PHI,ARI,38,1530,3330,Half1,4,2,29,0,0,0,1,0,0,0
PHI,ARI,ARI,ARI,68,190,190,Half2,4,2,49,30,-2,1,0,0,0,0
TB,HOU,TB,HOU,5,105,1905,Half1,4,2,58,0,-16,0,1,0,0,0
TB,HOU,HOU,TB,18,193,193,Half2,4,8,1,-1,28,0,1,0,0,0
IND,JAC,IND,JAC,12,107,107,Half2,4,2,68,0,-14,0,1,0,0,0
KC,DEN,KC,DEN,46,301,301,Half2,4,5,41,0,-10,0,1,0,0,0
KC,DEN,KC,KC,77,215,215,Half2,4,2,3,-5,-10,0,1,0,0,0
SEA,BAL,SEA,BAL,33,227,2027,Half1,4,1,11,2,6,1,0,0,0,0
SEA,BAL,BAL,BAL,60,472,472,Half2,4,5,11,6,-12,1,0,0,0,0
CHI,DET,DET,CHI,11,1143,1143,Half2,4,10,60,0,-28,0,1,0,0,0
CHI,DET,DET,CHI,10,307,307,Half2,4,10,56,10,-28,1,0,0,0,0
CHI,DET,CHI,DET,34,29,29,Half2,4,6,22,8,21,1,0,0,0,0
SF,NYG,NYG,NYG,65,213,213,Half2,4,6,33,18,-7,1,0,0,0,0
SF,NYG,NYG,SF,42,166,166,Half2,4,5,48,10,-7,1,0,0,0,0
SF,NYG,NYG,SF,10,37,37,Half2,4,2,70,0,-7,0,1,0,0,0
NYJ,NE,NYJ,NYJ,55,368,368,Half2,4,23,41,16,-20,0,1,0,0,0
NYJ,NE,NE,NYJ,37,153,153,Half2,4,1,23,-1,20,0,1,0,0,0
NYJ,NE,NYJ,NE,10,45,45,Half2,4,3,52,0,-20,0,1,0,0,0
GB,MIN,GB,MIN,34,856,2656,Half1,4,5,49,25,13,1,0,0,0,0
GB,MIN,GB,MIN,35,1629,1629,Half2,4,2,46,12,16,1,0,0,0,0
GB,MIN,MIN,GB,41,993,993,Half2,4,9,32,0,-23,0,1,0,0,0
GB,MIN,MIN,GB,40,99,99,Half2,4,20,40,0,-37,0,1,0,0,0
DEN,NYJ,DEN,NYJ,21,1495,3295,Half1,4,1,59,0,0,0,1,0,0,0
DEN,NYJ,NYJ,NYJ,82,34,34,Half2,4,19,29,25,-3,1,0,0,0,0
MIN,OAK,MIN,OAK,31,291,2091,Half1,4,5,12,-12,-3,0,1,0,0,0
MIN,OAK,MIN,MIN,54,118,118,Half2,4,8,17,0,-6,0,1,0,0,0
WAS,DAL,DAL,WAS,40,1080,1080,Half2,4,1,28,7,-7,1,0,0,0,0
GB,TB,GB,GB,79,1504,3304,Half1,4,1,61,6,0,1,0,0,0,0
GB,TB,TB,TB,67,31,31,Half2,4,15,23,10,-9,0,1,0,0,0
BAL,CIN,CIN,BAL,17,33,33,Half2,4,17,64,-5,-7,0,1,0,0,0
MIA,BUF,BUF,MIA,19,1169,1169,Half2,4,14,59,0,-28,0,1,0,0,0
MIA,BUF,BUF,MIA,1,827,827,Half2,4,1,48,0,-28,0,1,0,0,0
SF,ARI,SF,ARI,31,137,1937,Half1,4,2,67,12,6,1,0,0,0,0
SF,ARI,SF,ARI,27,1533,1533,Half2,4,1,59,2,9,1,0,0,0,0
SF,ARI,ARI,SF,40,242,242,Half2,4,10,64,9,-16,0,1,0,0,1
SF,ARI,ARI,SF,16,216,216,Half2,4,10,70,6,-16,0,1,0,0,0
CHI,SD,CHI,SD,45,119,119,Half2,4,8,45,0,11,0,1,0,0,0
ATL,TEN,ATL,TEN,36,1304,1304,Half2,4,1,45,2,17,1,0,0,0,0
ATL,TEN,TEN,TEN,58,280,280,Half2,4,17,48,22,-13,1,0,0,0,0
NE,KC,KC,NE,45,471,471,Half2,4,7,12,9,-23,1,0,0,0,0
NE,KC,KC,NE,38,401,401,Half2,4,12,10,0,-23,0,1,0,0,0
NE,KC,NE,KC,30,257,257,Half2,4,1,34,2,23,1,0,0,0,0
NE,KC,NE,KC,4,66,66,Half2,4,4,62,4,23,1,0,0,0,0
BAL,SF,SF,SF,63,137,137,Half2,4,4,11,5,-10,1,0,0,0,0
BAL,SF,SF,SF,60,78,78,Half2,4,12,9,0,-10,0,1,0,0,0
ATL,MIN,MIN,ATL,39,800,800,Half2,4,13,36,39,-10,1,0,0,0,0
ATL,MIN,MIN,ATL,1,262,262,Half2,4,1,0,-2,-10,0,1,0,0,0
JAC,HOU,JAC,HOU,40,76,76,Half2,4,2,34,0,-8,0,1,0,0,0
CIN,CLE,CIN,CLE,1,1109,2909,Half1,4,1,76,0,-7,0,1,0,0,0
CIN,CLE,CLE,CLE,70,16,16,Half2,4,6,4,0,-3,0,1,0,0,0
NYJ,BUF,NYJ,NYJ,53,4,1804,Half1,4,3,25,18,0,1,0,0,0,0
NYJ,BUF,BUF,NYJ,24,2,2,Half2,4,7,49,0,-4,0,1,0,0,0
TEN,TB,TEN,TB,30,1042,2842,Half1,4,2,29,0,4,0,1,0,0,0
TEN,TB,TEN,TB,2,188,188,Half2,4,2,80,2,-3,1,0,0,0,0
TEN,TB,TB,TEN,25,46,46,Half2,4,1,55,0,-7,0,1,0,0,0
IND,CAR,IND,CAR,15,81,81,Half2,4,5,69,12,-8,1,0,0,0,0
SEA,WAS,SEA,SEA,77,133,133,Half2,4,5,-4,-9,-3,0,1,0,0,0
OAK,CHI,OAK,CHI,41,615,2415,Half1,4,1,11,2,6,1,0,0,0,0
PHI,NE,PHI,NE,2,1293,1293,Half2,4,1,78,0,-18,0,1,0,0,0
PHI,NE,PHI,PHI,70,226,226,Half2,4,3,27,7,-25,1,0,0,0,0
KC,PIT,PIT,KC,30,1062,2862,Half1,4,2,14,6,-3,1,0,0,0,0
KC,PIT,KC,KC,71,1104,1104,Half2,4,1,14,5,-7,1,0,0,0,0
KC,PIT,KC,KC,55,84,84,Half2,4,7,30,9,-4,1,0,0,0,0
NO,NYG,NO,NYG,19,1498,3298,Half1,4,11,70,9,0,0,1,0,0,0
NO,NYG,NYG,NYG,67,1001,1001,Half2,4,7,13,0,-25,0,1,0,0,1
NO,NYG,NO,NYG,34,166,166,Half2,4,1,8,-1,18,0,1,0,0,0
NO,NYG,NYG,NYG,60,128,128,Half2,4,5,5,0,-18,0,1,0,0,0
SEA,PHI,PHI,SEA,9,900,900,Half2,4,1,73,2,-17,1,0,0,0,0
SEA,PHI,SEA,PHI,26,69,69,Half2,4,6,46,25,16,1,0,0,0,0
WAS,NYJ,NYJ,WAS,17,1129,2929,Half1,4,1,58,1,-7,1,0,0,0,0
